term,label
neural furniture,0
magnetic tissue,0
thermal healing,1
organic singing,1
atomic bridge,0
plastic artificial sand,0
rural solar statue,0
aerial symbolic forest,0
linguistic coin,0
social plastic painting,0
bird,0
artificial hydraulic construction,1
aerial illumination,1
cosmic eating,1
mechanical protein,0
hydraulic vocal brain,0
thermal cell,0
cellular decay,1
falling,1
vocal oxidation,1
political valve,0
urban reproduction,1
artificial war,1
neural tropical charging,1
musical coin,0
lunar cosmic sand,0
musical urban shoe,0
rural furniture,0
marine wheel,0
lunar lunar flight,1
biological plant,0
chemical competition,1
organic collapse,1
social island,0
symbolic solar evaporation,1
plastic blue tool,0
tropical pipe,0
mechanical exercise,1
solar cellular conversation,1
organic tissue,0
political birth,1
radiant oxidation,1
blue running,1
structural sleep,1
blue plastic dance,1
hydraulic thermal valve,0
tropical car,0
cellular computer,0
rapid training,1
biological ancient communication,1
genetic leaf,0
cultural speaking,1
political subterranean mountain range,0
atomic organism,0
chemical person,0
cultural digital talking,1
aerial collapse,1
lunar radiant transport,1
social melting,1
lunar genetic planet,0
geological biological bottle,0
thermal digestion,1
cellular desk,0
genetic mechanical rotation,1
urban birth,1
lunar evaporation,1
subterranean flower,0
artificial lunar mountain range,0
subterranean plant,0
biological dance,1
biological cultural eating,1
solar collapse,1
mechanical brain,0
tool,0
symbolic industrial bridge,0
social machine,0
geological bird,0
artificial city,0
radiant blue bottle,0
cosmic aerial metal,0
political decay,1
social competition,1
chemical translation,1
digital storm,1
rapid river,0
ancient decision,1
social storm,1
urban falling,1
electronic rock,0
thermal conversation,1
social rapid meeting,1
plastic building,0
symbolic falling,1
social speaking,1
rural sleeping,1
ancient magnetic movement,1
lunar mountain,0
artificial singing,1
neural coat,0
cosmic reaction,1
radiant bird,0
genetic helmet,0
magnetic movement,1
plastic competition,1
electronic tissue,0
cultural ship,0
symbolic infection,1
linguistic erosion,1
thermal political valve,0
radiant subterranean eating,1
electronic sand,0
rapid musical muscle,0
organic atom,0
magnetic pipe,0
radiant digital decision,1
lunar organic chair,0
tree,0
musical tropical rotation,1
lunar exercise,1
biological marine walking,1
subterranean migration,1
competition,1
biological eating,1
solar organic exercise,1
robotic chair,0
subterranean cloud,0
artificial pipe,0
environmental charging,1
robotic mountain,0
rural training,1
magnetic bottle,0
biological construction,1
digital vocal evaporation,1
geological robotic writing,1
artificial conversation,1
rural building,0
plastic urban plant,0
genetic solar walking,1
lunar bottle,0
tropical growth,1
hydraulic digital charging,1
environmental collapse,1
talking,1
structural neural melting,1
chemical plastic bottle,0
cellular social sleeping,1
singing,1
magnetic explosion,1
thermal planet,0
subterranean house,0
biological radiant mountain range,0
thermal magnetic wheel,0
solar training,1
artificial rotation,1
cosmic glove,0
digital ancient painting,0
symbolic war,1
robotic environmental sleep,1
musical symbolic illumination,1
digital collision,1
road,0
cultural flower,0
environmental writing,1
organic illumination,1
cosmic environmental wheel,0
aerial infection,1
robotic mirror,0
industrial sleeping,1
blue ocean,0
cellular lunar walking,1
vocal structural illumination,1
hydraulic linguistic erosion,1
illumination,1
marine table,0
digital solar illumination,1
symbolic melting,1
plastic storm,1
movement,1
biological car,0
measurement,1
robotic brain,0
robotic mechanical meeting,1
ancient collision,1
tropical artificial ship,0
atomic running,1
subterranean mechanical digestion,1
subterranean sand,0
cosmic ship,0
ancient urban war,1
cultural structural decay,1
marine storm,1
robotic muscle,0
linguistic city,0
rural cloud,0
robotic solar tool,0
mechanical car,0
chemical conversation,1
ancient translation,1
geological movement,1
robotic flight,1
musical knife,0
aerial cellular collapse,1
lunar mechanical training,1
industrial breathing,1
lunar bone,0
rural leaf,0
cellular flight,1
ancient wheel,0
marine tool,0
digital machine,0
biological evaporation,1
geological radiant storm,1
lunar war,1
neural thermal soil,0
plastic cultural ocean,0
political cloud,0
chemical blue digestion,1
social cell,0
electronic mirror,0
meeting,1
organic hydraulic meeting,1
radiant communication,1
lunar magnetic house,0
tropical rock,0
artificial flower,0
plastic social plant,0
tropical cosmic digestion,1
radiant measurement,1
plastic digital atom,0
genetic wheel,0
urban solar heart,0
geological valve,0
ancient social mountain range,0
cultural geological reading,1
statue,0
cultural brain,0
cellular island,0
cellular lunar conversation,1
rapid measurement,1
social computation,1
thermal translation,1
genetic explosion,1
chemical symbolic erosion,1
political organism,0
tropical chemical bridge,0
blue organic transport,1
plastic geological charging,1
subterranean mountain range,0
digital cell,0
linguistic running,1
musical construction,1
thermal tree,0
erosion,1
genetic birth,1
structural chemical healing,1
hydraulic musical helmet,0
structural artificial computation,1
lunar erosion,1
plastic geological meeting,1
urban evaporation,1
structural electron,0
cosmic reproduction,1
cultural growth,1
magnetic running,1
rapid machine,0
mechanical oxidation,1
artificial collapse,1
musical neural thinking,1
urban competition,1
cosmic ancient exercise,1
pipe,0
cultural reading,1
structural glove,0
industrial protein,0
urban computer,0
biological environmental transport,1
geological falling,1
structural melting,1
robotic evaporation,1
breathing,1
blue singing,1
social statue,0
tropical genetic river,0
digital aerial computer,0
structural dance,1
vocal coin,0
industrial reproduction,1
charging,1
plastic explosion,1
mechanical evaporation,1
blue tool,0
atomic cloud,0
vocal infection,1
lunar electron,0
social sleep,1
cosmic bridge,0
subterranean walking,1
digital thermal bone,0
neural heart,0
tropical training,1
genetic valve,0
hydraulic walking,1
linguistic statue,0
tropical vocal talking,1
radiant table,0
